sweep,scheme,n,reps,warmup_reps,initstate,initseq,keygen_ms,encrypt_ms,decrypt_ms,total_ms,delta_max,margin_bound,margin,sum_bits,density
margin,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.099631,0.002696,0.005107,0.107433,16,32768,7977,516,0.992248
margin,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.360562,0.008705,0.011603,0.380870,16,65536,25660,1027,0.997079
margin,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.366645,0.008588,0.011801,0.387034,16,65536,13139,1028,0.996109
margin,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.365825,0.008235,0.012132,0.386193,16,65536,27042,1028,0.996109
margin,mh-classic,2048,10,3,16490336266968443936,132297946315314195,1.794553,0.024983,0.026788,1.846325,16,131072,4370,2051,0.998537
margin,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.795657,0.024063,0.027167,1.846886,16,131072,35754,2052,0.998051
margin,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.817537,0.024039,0.027140,1.868716,16,131072,124747,2052,0.998051
margin,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.912476,0.086472,0.071116,11.070063,16,262144,186367,4099,0.999268
margin,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.831944,0.081319,0.069638,10.982901,16,262144,41675,4100,0.999024
margin,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.848188,0.084653,0.071099,11.003941,16,262144,179685,4100,0.999024
margin,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.014662,0.000472,0.001181,0.016315,16,32768,17195,131,0.977099
margin,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.015646,0.000500,0.001126,0.017273,16,32768,30071,132,0.969697
margin,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.014674,0.000521,0.001057,0.016252,16,32768,14220,132,0.969697
margin,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.037437,0.000977,0.002261,0.040675,16,65536,32278,259,0.988417
margin,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.035374,0.000996,0.002166,0.038536,16,65536,24374,260,0.984615
margin,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.035443,0.000997,0.002253,0.038694,16,65536,10484,260,0.984615
margin,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.111595,0.002788,0.005269,0.119652,16,131072,85276,515,0.994175
margin,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.110826,0.002740,0.005140,0.118706,16,131072,121439,516,0.992248
margin,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.099494,0.002686,0.005134,0.107314,16,131072,106281,516,0.992248
margin,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.360918,0.008311,0.011568,0.380797,16,262144,91196,1027,0.997079
margin,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.362108,0.008581,0.012115,0.382803,16,262144,13139,1028,0.996109
margin,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.365904,0.008264,0.011610,0.385779,16,262144,158114,1028,0.996109
margin,mh-classic,2048,10,3,16490336266968443936,132297946315314195,1.776332,0.024530,0.026811,1.827673,16,524288,397586,2051,0.998537
margin,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.795940,0.024152,0.026608,1.846701,16,524288,166826,2052,0.998051
margin,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.798519,0.023948,0.026864,1.849331,16,524288,124747,2052,0.998051
margin,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.822607,0.085841,0.069551,10.977999,16,1048576,972799,4099,0.999268
margin,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.848375,0.110368,0.080768,11.039512,16,1048576,565963,4100,0.999024
margin,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.901336,0.086627,0.073219,11.061182,16,1048576,703973,4100,0.999024
margin,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.014803,0.000482,0.001134,0.016419,16,131072,49963,131,0.977099
margin,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.014595,0.000601,0.001117,0.016313,16,131072,95607,132,0.969697
margin,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.015116,0.000552,0.001012,0.016681,16,131072,79756,132,0.969697
margin,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.045920,0.001014,0.002552,0.049486,16,262144,228886,259,0.988417
margin,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.035527,0.001013,0.002167,0.038707,16,262144,89910,260,0.984615
margin,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.035925,0.001005,0.002290,0.039220,16,262144,10484,260,0.984615
margin,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.111506,0.002896,0.005359,0.119761,16,524288,216348,515,0.994175
margin,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.099806,0.002746,0.004928,0.107481,16,524288,383583,516,0.992248
margin,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.099719,0.002679,0.004987,0.107386,16,524288,499497,516,0.992248
margin,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.362319,0.008585,0.011739,0.382643,16,1048576,877628,1027,0.997079
margin,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.362257,0.008844,0.011854,0.382954,16,1048576,13139,1028,0.996109
margin,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.366457,0.008410,0.011962,0.386829,16,1048576,420258,1028,0.996109
margin,mh-classic,2048,10,3,16490336266968443936,132297946315314195,1.777997,0.024467,0.026767,1.829231,16,2097152,921874,2051,0.998537
margin,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.800742,0.024466,0.027445,1.852653,16,2097152,1215402,2052,0.998051
margin,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.782085,0.024448,0.026835,1.833369,16,2097152,649035,2052,0.998051
margin,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.829835,0.090103,0.072707,10.992646,16,4194304,3069951,4099,0.999268
margin,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.706481,0.083643,0.069923,10.860046,16,4194304,2663115,4100,0.999024
margin,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.920055,0.086593,0.073284,11.079933,16,4194304,2801125,4100,0.999024
