sweep,scheme,n,reps,warmup_reps,initstate,initseq,keygen_ms,encrypt_ms,decrypt_ms,total_ms,delta_max,margin_bound,margin,sum_bits,density
delta,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.105632,0.002989,0.005118,0.113740,4,32768,19740,514,0.996109
delta,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.123428,0.003461,0.005506,0.132396,4,32768,23135,514,0.996109
delta,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.112605,0.002911,0.005426,0.120942,4,32768,7977,514,0.996109
delta,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.383465,0.008972,0.011969,0.404406,4,65536,25660,1026,0.998051
delta,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.372730,0.008975,0.012182,0.393887,4,65536,13139,1026,0.998051
delta,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.358272,0.009074,0.011839,0.379186,4,65536,27042,1026,0.998051
delta,mh-classic,2048,10,3,16490336266968443936,132297946315314195,1.781229,0.025525,0.026812,1.833566,4,131072,4370,2050,0.999024
delta,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.841382,0.025835,0.027805,1.895022,4,131072,35754,2050,0.999024
delta,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.786942,0.025348,0.026835,1.839124,4,131072,124747,2050,0.999024
delta,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.865305,0.097724,0.075197,11.038227,4,262144,186367,4098,0.999512
delta,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.659637,0.092734,0.072412,10.824784,4,262144,41675,4098,0.999512
delta,mh-classic,4096,10,3,10451216379200822465,244725773053885299,10.730167,0.084209,0.072647,10.887024,4,262144,179685,4098,0.999512
delta,mh-classic,128,10,3,16490336266968443936,132297946315314195,0.015785,0.000524,0.001237,0.017546,8,8192,811,131,0.977099
delta,mh-classic,128,10,3,10905525725756348110,16000682456418926275,0.015466,0.000542,0.001226,0.017235,8,8192,5495,131,0.977099
delta,mh-classic,128,10,3,10451216379200822465,244725773053885299,0.016818,0.000468,0.001123,0.018409,8,8192,6028,131,0.977099
delta,mh-classic,256,10,3,16490336266968443936,132297946315314195,0.039778,0.001061,0.002375,0.043214,8,16384,15894,259,0.988417
delta,mh-classic,256,10,3,10905525725756348110,16000682456418926275,0.039693,0.001105,0.002368,0.043166,8,16384,7990,259,0.988417
delta,mh-classic,256,10,3,10451216379200822465,244725773053885299,0.042541,0.001092,0.002548,0.046182,8,16384,10484,259,0.988417
delta,mh-classic,512,10,3,16490336266968443936,132297946315314195,0.121736,0.003473,0.006183,0.131393,8,32768,19740,515,0.994175
delta,mh-classic,512,10,3,10905525725756348110,16000682456418926275,0.120712,0.003275,0.005895,0.129882,8,32768,23135,515,0.994175
delta,mh-classic,512,10,3,10451216379200822465,244725773053885299,0.127025,0.003454,0.006323,0.136802,8,32768,7977,515,0.994175
delta,mh-classic,1024,10,3,16490336266968443936,132297946315314195,0.484622,0.011356,0.015658,0.511636,8,65536,25660,1027,0.997079
delta,mh-classic,1024,10,3,10905525725756348110,16000682456418926275,0.469601,0.011424,0.015578,0.496603,8,65536,13139,1027,0.997079
delta,mh-classic,1024,10,3,10451216379200822465,244725773053885299,0.501955,0.011638,0.016265,0.529859,8,65536,27042,1027,0.997079
delta,mh-classic,2048,10,3,16490336266968443936,132297946315314195,2.255187,0.032989,0.034459,2.322635,8,131072,4370,2051,0.998537
delta,mh-classic,2048,10,3,10905525725756348110,16000682456418926275,1.780226,0.025182,0.027145,1.832553,8,131072,35754,2051,0.998537
delta,mh-classic,2048,10,3,10451216379200822465,244725773053885299,1.779723,0.025181,0.027167,1.832071,8,131072,124747,2051,0.998537
delta,mh-classic,4096,10,3,16490336266968443936,132297946315314195,10.824380,0.090810,0.074000,10.989190,8,262144,186367,4099,0.999268
delta,mh-classic,4096,10,3,10905525725756348110,16000682456418926275,10.969600,0.085777,0.072706,11.128083,8,262144,41675,4099,0.999268
