layers,extra_layers,scheme,n,reps,warmup_reps,initstate,initseq,keygen_ms,encrypt_ms,decrypt_ms,total_ms,delta_max,margin_bound,margin,sum_bits,density
4,3,mh-iterated,1024,5,3,16490336266968443936,132297946315314195,1.968400,0.008400,0.016000,1.992800,64,65536,25660,1030,0.968780
4,3,mh-iterated,1024,5,3,10905525725756348110,16000682456418926275,1.921000,0.007000,0.012400,1.940400,64,65536,13139,1029,0.969697
4,3,mh-iterated,1024,5,3,10451216379200822465,244725773053885299,1.880000,0.006200,0.010000,1.896200,64,65536,27042,1030,0.968780
4,3,mh-iterated,2048,5,3,16490336266968443936,132297946315314195,10.479800,0.021800,0.033800,10.535400,64,131072,4370,2054,0.982726
4,3,mh-iterated,2048,5,3,10905525725756348110,16000682456418926275,10.423200,0.019000,0.030600,10.472800,64,131072,35754,2053,0.983197
4,3,mh-iterated,2048,5,3,10451216379200822465,244725773053885299,10.410200,0.026400,0.032000,10.468600,64,131072,124747,2054,0.982726
4,3,mh-iterated,4096,5,3,16490336266968443936,132297946315314195,62.197600,0.108400,0.094400,62.400400,64,262144,186367,4102,0.990568
4,3,mh-iterated,4096,5,3,10905525725756348110,16000682456418926275,62.352000,0.105000,0.097400,62.554400,64,262144,41675,4101,0.990808
4,3,mh-iterated,4096,5,3,10451216379200822465,244725773053885299,61.766000,0.086800,0.094000,61.946800,64,262144,179685,4102,0.990568
5,4,mh-iterated,128,5,3,16490336266968443936,132297946315314195,0.059400,0.000800,0.001000,0.061200,64,8192,811,134,0.810127
5,4,mh-iterated,128,5,3,10905525725756348110,16000682456418926275,0.061600,0.000600,0.001200,0.063400,64,8192,5495,133,0.815287
5,4,mh-iterated,128,5,3,10451216379200822465,244725773053885299,0.067400,0.000400,0.001000,0.068800,64,8192,6028,134,0.810127
5,4,mh-iterated,256,5,3,16490336266968443936,132297946315314195,0.170600,0.001000,0.002400,0.174000,64,16384,15894,262,0.882759
5,4,mh-iterated,256,5,3,10905525725756348110,16000682456418926275,0.160800,0.000800,0.002200,0.163800,64,16384,7990,261,0.885813
5,4,mh-iterated,256,5,3,10451216379200822465,244725773053885299,0.162000,0.001000,0.002400,0.165400,64,16384,10484,262,0.882759
5,4,mh-iterated,512,5,3,16490336266968443936,132297946315314195,0.549600,0.001800,0.005600,0.557000,64,32768,19740,518,0.930909
5,4,mh-iterated,512,5,3,10905525725756348110,16000682456418926275,0.539400,0.001800,0.004400,0.545600,64,32768,23135,517,0.932605
5,4,mh-iterated,512,5,3,10451216379200822465,244725773053885299,0.570000,0.001800,0.006000,0.577800,64,32768,7977,518,0.930909
5,4,mh-iterated,1024,5,3,16490336266968443936,132297946315314195,2.427200,0.006000,0.012600,2.445800,64,65536,25660,1030,0.960600
5,4,mh-iterated,1024,5,3,10905525725756348110,16000682456418926275,2.417600,0.007400,0.013600,2.438600,64,65536,13139,1029,0.961502
5,4,mh-iterated,1024,5,3,10451216379200822465,244725773053885299,2.387000,0.005600,0.011000,2.403600,64,65536,27042,1030,0.960600
5,4,mh-iterated,2048,5,3,16490336266968443936,132297946315314195,13.540200,0.019200,0.035200,13.594600,64,131072,4370,2054,0.978032
5,4,mh-iterated,2048,5,3,10905525725756348110,16000682456418926275,13.418600,0.022400,0.035400,13.476400,64,131072,35754,2053,0.978500
5,4,mh-iterated,2048,5,3,10451216379200822465,244725773053885299,13.318200,0.021600,0.033800,13.373600,64,131072,124747,2054,0.978032
5,4,mh-iterated,4096,5,3,16490336266968443936,132297946315314195,89.126600,0.115000,0.107800,89.349400,64,262144,186367,4102,0.987940
5,4,mh-iterated,4096,5,3,10905525725756348110,16000682456418926275,84.066600,0.207200,0.107800,84.381600,64,262144,41675,4101,0.988179
5,4,mh-iterated,4096,5,3,10451216379200822465,244725773053885299,87.214400,0.232600,0.115400,87.562400,64,262144,179685,4102,0.987940
